id,dex_number,pokemon,form,variant_type,stage,evolution_family,evolves_from,evolves_to,final_evolution_targets,mega_targets,type_1,type_2,base_attack,base_defense,base_stamina,max_cp_estimate,current_stage_rating,final_potential_rating,main_uses,raid_rating,gym_attack_rating,gym_defense_rating,league_rating,best_fast_move_pve,best_charged_move_1_pve,best_charged_move_2_pve,best_fast_move_pvp,best_charged_move_1_pvp,best_charged_move_2_pvp,needs_legacy_move,legacy_move,event_wait_recommended,recommended_wait_reason,bad_stats_action,good_stats_action,storage_priority,trade_value,evolve_priority,power_up_priority,regional,legendary,mythical,ultra_beast,can_be_shadow,shadow_relevant,purified_relevant,can_be_mega,mega_relevant,availability_status,notes,source_notes,last_reviewed
bulbasaur,1,Bulbasaur,,normal,base,Bulbasaur,,Ivysaur,Venusaur,,Grass,Poison,118,111,128,1260,bad,decent,pokedex/collection,bad,bad,bad,bad,Vine Whip,Power Whip,Sludge Bomb,Vine Whip,Power Whip,Sludge Bomb,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
ivysaur,2,Ivysaur,,normal,middle,Bulbasaur,Bulbasaur,Venusaur,Venusaur,,Grass,Poison,151,143,155,1921,bad,decent,pokedex/collection,bad,bad,bad,bad,Razor Leaf,Solar Beam,Power Whip,Razor Leaf,Solar Beam,Power Whip,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
venusaur,3,Venusaur,,normal,final,Bulbasaur,Ivysaur,,Venusaur,Venusaur (Mega),Grass,Poison,198,189,190,3075,decent,decent,decent raid; decent gym attack; strong great league; strong ultra league,decent,decent,budget,strong,Razor Leaf,Frenzy Plant,Solar Beam,Razor Leaf,Frenzy Plant,Solar Beam,yes,Frenzy Plant,yes,Better with Frenzy Plant,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,yes,yes,game master present,Often wants Frenzy Plant; wait for event/Elite TM before serious investment.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
venusaur_mega,3,Venusaur,Mega,mega,mega,Bulbasaur,Venusaur,,Venusaur (Mega),,Grass,Poison,241,246,190,4181,decent,decent,decent raid; decent gym attack; decent gym defense; strong great league; strong ultra league; mega attacker,decent,decent,decent,strong,Razor Leaf,Frenzy Plant,Solar Beam,Razor Leaf,Frenzy Plant,Solar Beam,yes,Frenzy Plant,yes,Better with Frenzy Plant,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Often wants Frenzy Plant; wait for event/Elite TM before serious investment. Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
charmander,4,Charmander,,normal,base,Charmander,,Charmeleon,Charizard,,Fire,,116,93,118,1108,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Ember,Flame Charge,Flame Burst,Ember,Flame Charge,Flame Burst,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
charmeleon,5,Charmeleon,,normal,middle,Charmander,Charmander,Charizard,Charizard,,Fire,,158,126,151,1868,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Fire Fang,Fire Punch,Flame Burst,Fire Fang,Fire Punch,Flame Burst,no,,no,,trade,keep,high,high,high,none,no,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
charizard,6,Charizard,,normal,final,Charmander,Charmeleon,,Charizard,Charizard (Mega X); Charizard (Mega Y),Fire,Flying,223,173,186,3266,decent,top-tier,decent raid; decent gym attack; strong great league; strong ultra league,decent,decent,budget,strong,Fire Spin,Blast Burn,Overheat,Fire Spin,Blast Burn,Overheat,yes,Blast Burn,yes,Better with Blast Burn,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,yes,yes,game master present,Often wants Blast Burn; wait for event/Elite TM before serious investment.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
charizard_mega_x,6,Charizard,Mega X,mega,mega,Charmander,Charizard,,Charizard (Mega X),,Fire,Dragon,273,213,186,4353,strong,top-tier,strong raid; strong gym attack; strong great league; strong ultra league; mega attacker,strong,strong,budget,strong,Fire Spin,Blast Burn,Overheat,Fire Spin,Blast Burn,Overheat,yes,Blast Burn,yes,Better with Blast Burn,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Often wants Blast Burn; wait for event/Elite TM before serious investment. Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
charizard_mega_y,6,Charizard,Mega Y,mega,mega,Charmander,Charizard,,Charizard (Mega Y),,Fire,Flying,319,212,186,5037,top-tier,top-tier,top-tier raid; top-tier gym attack; strong great league; strong ultra league; mega attacker,top-tier,top-tier,budget,strong,Fire Spin,Blast Burn,Overheat,Fire Spin,Blast Burn,Overheat,yes,Blast Burn,yes,Better with Blast Burn,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Often wants Blast Burn; wait for event/Elite TM before serious investment. Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
squirtle,7,Squirtle,,normal,base,Squirtle,,Wartortle,Blastoise,,Water,,94,121,127,1069,bad,strong,pokedex/collection,bad,bad,bad,bad,Bubble,Aqua Tail,Aqua Jet,Bubble,Aqua Tail,Aqua Jet,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
wartortle,8,Wartortle,,normal,middle,Squirtle,Squirtle,Blastoise,Blastoise,,Water,,126,155,153,1682,bad,strong,pokedex/collection,bad,bad,bad,bad,Water Gun,Hydro Pump,Ice Beam,Water Gun,Hydro Pump,Ice Beam,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
blastoise,9,Blastoise,,normal,final,Squirtle,Wartortle,,Blastoise,Blastoise (Mega),Water,,171,207,188,2788,decent,strong,decent raid; decent gym attack,decent,decent,budget,bad,Water Gun,Hydro Cannon,Hydro Pump,Water Gun,Hydro Cannon,Hydro Pump,yes,Hydro Cannon,yes,Better with Hydro Cannon,trade,keep,high,high,none,medium,no,no,no,no,yes,yes,no,yes,yes,game master present,Often wants Hydro Cannon; wait for event/Elite TM before serious investment.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
